,Date,Contributors,Ocean,Province,Country,Location,Lat_locat_center,Lon_locat_center,Local_census,Length_m,Area_m2,Site,Lat_site,Lon_site,Depth_m,Mesozones2_30m,Trash_group,Trash_count,MPA,Managed_area,Site_split_MPA,Nearest_MPA_Lat,Nearest_MPA_Lon,Nearest_Market_Lat,Nearest_Market_Lon,Mismanaged.plastic.waste..kg.person.day.7,ID_transect,Complexity_3pt,Trash_per_m2,Meso_zone2,Meso_zone3,Depth_m_scaled,Dist_MPA,Dist_Market,Mismanaged_2010,Mismanaged_plastic_pop100Km_2010_Tons,Mismanaged_plastic_pop10Km_2010_Tons,Pop10Km,Pop100Km,Reefarea_pop100,Coral_reef_km2
43,10_21_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,12,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,91.2,MCE,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,895,intermediate,0,MCE,Lower,1.330565876,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
44,10_21_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,13,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,91.2,MCE,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,896,intermediate,0,MCE,Lower,1.330565876,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
45,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,14,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,103,MCE,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,897,intermediate,0,MCE,Lower,1.660479421,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
46,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,15,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,103,MCE,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,898,intermediate,0,MCE,Lower,1.660479421,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
47,10_24_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,24,20,40,gregos_wall_(fishing_spot),-3.822105556,-32.41785,109.7,MCE,fishing,1,yes,National Park,0,-3.822105556,-32.41785,-3.846543,-32.413243,0.017,907,intermediate,0.025,MCE,Lower,1.847803213,-0.375487038,-0.704760986,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
48,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,27,20,40,ponta_norte,-3.808983333,-32.36773889,107.6,MCE,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,910,intermediate,0,MCE,Lower,1.789089786,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
49,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,28,20,40,ponta_norte,-3.808983333,-32.36773889,107.6,MCE,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,911,intermediate,0,MCE,Lower,1.789089786,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
50,10_21_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,42,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,95.5,MCE,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,925,high,0,MCE,Lower,1.450788608,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
51,10_21_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,43,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,93.9,MCE,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,926,intermediate,0,MCE,Lower,1.406054568,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
52,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,44,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,110.225,MCE,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,927,intermediate,0,MCE,Lower,1.86248157,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
